id,prefecture,city,prefecture_kana,city_kana
1,北海道,,ほっかいどう,
2,北海道,札幌市,ほっかいどう,さっぽろし
3,北海道,札幌市中央区,ほっかいどう,さっぽろしちゅうおうく
4,北海道,札幌市北区,ほっかいどう,さっぽろしきたく
5,北海道,札幌市東区,ほっかいどう,さっぽろしひがしく
6,北海道,札幌市白石区,ほっかいどう,さっぽろししろいしく
7,北海道,札幌市豊平区,ほっかいどう,さっぽろしとよひらく
8,北海道,札幌市南区,ほっかいどう,さっぽろしみなみく
9,北海道,札幌市西区,ほっかいどう,さっぽろしにしく
10,北海道,札幌市厚別区,ほっかいどう,さっぽろしあつべつく
11,北海道,札幌市手稲区,ほっかいどう,さっぽろしていねく
12,北海道,札幌市清田区,ほっかいどう,さっぽろしきよたく
13,北海道,函館市,ほっかいどう,はこだてし
14,北海道,小樽市,ほっかいどう,おたるし
15,北海道,旭川市,ほっかいどう,あさひかわし
16,北海道,室蘭市,ほっかいどう,むろらんし
17,北海道,釧路市,ほっかいどう,くしろし
18,北海道,帯広市,ほっかいどう,おびひろし
19,北海道,北見市,ほっかいどう,きたみし
20,北海道,夕張市,ほっかいどう,ゆうばりし
21,北海道,岩見沢市,ほっかいどう,いわみざわし
22,北海道,網走市,ほっかいどう,あばしりし
23,北海道,留萌市,ほっかいどう,るもいし
24,北海道,苫小牧市,ほっかいどう,とまこまいし
25,北海道,稚内市,ほっかいどう,わっかないし
26,北海道,美唄市,ほっかいどう,びばいし
27,北海道,芦別市,ほっかいどう,あしべつし
28,北海道,江別市,ほっかいどう,えべつし
29,北海道,赤平市,ほっかいどう,あかびらし
30,北海道,紋別市,ほっかいどう,もんべつし
31,北海道,士別市,ほっかいどう,しべつし
32,北海道,名寄市,ほっかいどう,なよろし
33,北海道,三笠市,ほっかいどう,みかさし
34,北海道,根室市,ほっかいどう,ねむろし
35,北海道,千歳市,ほっかいどう,ちとせし
36,北海道,滝川市,ほっかいどう,たきかわし
37,北海道,砂川市,ほっかいどう,すながわし
38,北海道,歌志内市,ほっかいどう,うたしないし
39,北海道,深川市,ほっかいどう,ふかがわし
40,北海道,富良野市,ほっかいどう,ふらのし
41,北海道,登別市,ほっかいどう,のぼりべつし
42,北海道,恵庭市,ほっかいどう,えにわし
43,北海道,伊達市,ほっかいどう,だてし
44,北海道,北広島市,ほっかいどう,きたひろしまし
45,北海道,石狩市,ほっかいどう,いしかりし
46,北海道,北斗市,ほっかいどう,ほくとし
47,北海道,当別町,ほっかいどう,とうべつちょう
48,北海道,新篠津村,ほっかいどう,しんしのつむら
49,北海道,松前町,ほっかいどう,まつまえちょう
50,北海道,福島町,ほっかいどう,ふくしまちょう
51,北海道,知内町,ほっかいどう,しりうちちょう
52,北海道,木古内町,ほっかいどう,きこないちょう
53,北海道,七飯町,ほっかいどう,ななえちょう
54,北海道,鹿部町,ほっかいどう,しかべちょう
55,北海道,森町,ほっかいどう,もりまち
56,北海道,八雲町,ほっかいどう,やくもちょう
57,北海道,長万部町,ほっかいどう,おしゃまんべちょう
58,北海道,江差町,ほっかいどう,えさしちょう
59,北海道,上ノ国町,ほっかいどう,かみのくにちょう
60,北海道,厚沢部町,ほっかいどう,あっさぶちょう
61,北海道,乙部町,ほっかいどう,おとべちょう
62,北海道,奥尻町,ほっかいどう,おくしりちょう
63,北海道,今金町,ほっかいどう,いまかねちょう
64,北海道,せたな町,ほっかいどう,せたなちょう
65,北海道,島牧村,ほっかいどう,しままきむら
66,北海道,寿都町,ほっかいどう,すっつちょう
67,北海道,黒松内町,ほっかいどう,くろまつないちょう
68,北海道,蘭越町,ほっかいどう,らんこしちょう
69,北海道,ニセコ町,ほっかいどう,にせこちょう
70,北海道,真狩村,ほっかいどう,まっかりむら
71,北海道,留寿都村,ほっかいどう,るすつむら
72,北海道,喜茂別町,ほっかいどう,きもべつちょう
73,北海道,京極町,ほっかいどう,きょうごくちょう
74,北海道,倶知安町,ほっかいどう,くっちゃんちょう
75,北海道,共和町,ほっかいどう,きょうわちょう
76,北海道,岩内町,ほっかいどう,いわないちょう
77,北海道,泊村,ほっかいどう,とまりむら
78,北海道,神恵内村,ほっかいどう,かもえないむら
79,北海道,積丹町,ほっかいどう,しゃこたんちょう
80,北海道,古平町,ほっかいどう,ふるびらちょう
81,北海道,仁木町,ほっかいどう,にきちょう
82,北海道,余市町,ほっかいどう,よいちちょう
83,北海道,赤井川村,ほっかいどう,あかいがわむら
84,北海道,南幌町,ほっかいどう,なんぽろちょう
85,北海道,奈井江町,ほっかいどう,ないえちょう
86,北海道,上砂川町,ほっかいどう,かみすながわちょう
87,北海道,由仁町,ほっかいどう,ゆにちょう
88,北海道,長沼町,ほっかいどう,ながぬまちょう
89,北海道,栗山町,ほっかいどう,くりやまちょう
90,北海道,月形町,ほっかいどう,つきがたちょう
91,北海道,浦臼町,ほっかいどう,うらうすちょう
92,北海道,新十津川町,ほっかいどう,しんとつかわちょう
93,北海道,妹背牛町,ほっかいどう,もせうしちょう
94,北海道,秩父別町,ほっかいどう,ちっぷべつちょう
95,北海道,雨竜町,ほっかいどう,うりゅうちょう
96,北海道,北竜町,ほっかいどう,ほくりゅうちょう
97,北海道,沼田町,ほっかいどう,ぬまたちょう
98,北海道,鷹栖町,ほっかいどう,たかすちょう
99,北海道,東神楽町,ほっかいどう,ひがしかぐらちょう
100,北海道,当麻町,ほっかいどう,とうまちょう
101,北海道,比布町,ほっかいどう,ぴっぷちょう
102,北海道,愛別町,ほっかいどう,あいべつちょう
103,北海道,上川町,ほっかいどう,かみかわちょう
104,北海道,東川町,ほっかいどう,ひがしかわちょう
105,北海道,美瑛町,ほっかいどう,びえいちょう
106,北海道,上富良野町,ほっかいどう,かみふらのちょう
107,北海道,中富良野町,ほっかいどう,なかふらのちょう
108,北海道,南富良野町,ほっかいどう,みなみふらのちょう
109,北海道,占冠村,ほっかいどう,しむかっぷむら
110,北海道,和寒町,ほっかいどう,わっさむちょう
111,北海道,剣淵町,ほっかいどう,けんぶちちょう
112,北海道,下川町,ほっかいどう,しもかわちょう
113,北海道,美深町,ほっかいどう,びふかちょう
114,北海道,音威子府村,ほっかいどう,おといねっぷむら
115,北海道,中川町,ほっかいどう,なかがわちょう
116,北海道,幌加内町,ほっかいどう,ほろかないちょう
117,北海道,増毛町,ほっかいどう,ましけちょう
118,北海道,小平町,ほっかいどう,おびらちょう
119,北海道,苫前町,ほっかいどう,とままえちょう
120,北海道,羽幌町,ほっかいどう,はぼろちょう
121,北海道,初山別村,ほっかいどう,しょさんべつむら
122,北海道,遠別町,ほっかいどう,えんべつちょう
123,北海道,天塩町,ほっかいどう,てしおちょう
124,北海道,猿払村,ほっかいどう,さるふつむら
125,北海道,浜頓別町,ほっかいどう,はまとんべつちょう
126,北海道,中頓別町,ほっかいどう,なかとんべつちょう
127,北海道,枝幸町,ほっかいどう,えさしちょう
128,北海道,豊富町,ほっかいどう,とよとみちょう
129,北海道,礼文町,ほっかいどう,れぶんちょう
130,北海道,利尻町,ほっかいどう,りしりちょう
131,北海道,利尻富士町,ほっかいどう,りしりふじちょう
132,北海道,幌延町,ほっかいどう,ほろのべちょう
133,北海道,美幌町,ほっかいどう,びほろちょう
134,北海道,津別町,ほっかいどう,つべつちょう
135,北海道,斜里町,ほっかいどう,しゃりちょう
136,北海道,清里町,ほっかいどう,きよさとちょう
137,北海道,小清水町,ほっかいどう,こしみずちょう
138,北海道,訓子府町,ほっかいどう,くんねっぷちょう
139,北海道,置戸町,ほっかいどう,おけとちょう
140,北海道,佐呂間町,ほっかいどう,さろまちょう
141,北海道,遠軽町,ほっかいどう,えんがるちょう
142,北海道,湧別町,ほっかいどう,ゆうべつちょう
143,北海道,滝上町,ほっかいどう,たきのうえちょう
144,北海道,興部町,ほっかいどう,おこっぺちょう
145,北海道,西興部村,ほっかいどう,にしおこっぺむら
146,北海道,雄武町,ほっかいどう,おうむちょう
147,北海道,大空町,ほっかいどう,おおぞらちょう
148,北海道,豊浦町,ほっかいどう,とようらちょう
149,北海道,壮瞥町,ほっかいどう,そうべつちょう
150,北海道,白老町,ほっかいどう,しらおいちょう
151,北海道,厚真町,ほっかいどう,あつまちょう
152,北海道,洞爺湖町,ほっかいどう,とうやこちょう
153,北海道,安平町,ほっかいどう,あびらちょう
154,北海道,むかわ町,ほっかいどう,むかわちょう
155,北海道,日高町,ほっかいどう,ひだかちょう
156,北海道,平取町,ほっかいどう,びらとりちょう
157,北海道,新冠町,ほっかいどう,にいかっぷちょう
158,北海道,浦河町,ほっかいどう,うらかわちょう
159,北海道,様似町,ほっかいどう,さまにちょう
160,北海道,えりも町,ほっかいどう,えりもちょう
161,北海道,新ひだか町,ほっかいどう,しんひだかちょう
162,北海道,音更町,ほっかいどう,おとふけちょう
163,北海道,士幌町,ほっかいどう,しほろちょう
164,北海道,上士幌町,ほっかいどう,かみしほろちょう
165,北海道,鹿追町,ほっかいどう,しかおいちょう
166,北海道,新得町,ほっかいどう,しんとくちょう
167,北海道,清水町,ほっかいどう,しみずちょう
168,北海道,芽室町,ほっかいどう,めむろちょう
169,北海道,中札内村,ほっかいどう,なかさつないむら
170,北海道,更別村,ほっかいどう,さらべつむら
171,北海道,大樹町,ほっかいどう,たいきちょう
172,北海道,広尾町,ほっかいどう,ひろおちょう
173,北海道,幕別町,ほっかいどう,まくべつちょう
174,北海道,池田町,ほっかいどう,いけだちょう
175,北海道,豊頃町,ほっかいどう,とよころちょう
176,北海道,本別町,ほっかいどう,ほんべつちょう
177,北海道,足寄町,ほっかいどう,あしょろちょう
178,北海道,陸別町,ほっかいどう,りくべつちょう
179,北海道,浦幌町,ほっかいどう,うらほろちょう
180,北海道,釧路町,ほっかいどう,くしろちょう
181,北海道,厚岸町,ほっかいどう,あっけしちょう
182,北海道,浜中町,ほっかいどう,はまなかちょう
183,北海道,標茶町,ほっかいどう,しべちゃちょう
184,北海道,弟子屈町,ほっかいどう,てしかがちょう
185,北海道,鶴居村,ほっかいどう,つるいむら
186,北海道,白糠町,ほっかいどう,しらぬかちょう
187,北海道,別海町,ほっかいどう,べつかいちょう
188,北海道,中標津町,ほっかいどう,なかしべつちょう
189,北海道,標津町,ほっかいどう,しべつちょう
190,北海道,羅臼町,ほっかいどう,らうすちょう
191,青森県,,あおもりけん,
192,青森県,青森市,あおもりけん,あおもりし
193,青森県,弘前市,あおもりけん,ひろさきし
194,青森県,八戸市,あおもりけん,はちのへし
195,青森県,黒石市,あおもりけん,くろいしし
196,青森県,五所川原市,あおもりけん,ごしょがわらし
197,青森県,十和田市,あおもりけん,とわだし
198,青森県,三沢市,あおもりけん,みさわし
199,青森県,むつ市,あおもりけん,むつし
200,青森県,つがる市,あおもりけん,つがるし
201,青森県,平川市,あおもりけん,ひらかわし
202,青森県,平内町,あおもりけん,ひらないまち
203,青森県,今別町,あおもりけん,いまべつまち
204,青森県,蓬田村,あおもりけん,よもぎたむら
205,青森県,外ヶ浜町,あおもりけん,そとがはままち
206,青森県,鰺ヶ沢町,あおもりけん,あじがさわまち
207,青森県,深浦町,あおもりけん,ふかうらまち
208,青森県,西目屋村,あおもりけん,にしめやむら
209,青森県,藤崎町,あおもりけん,ふじさきまち
210,青森県,大鰐町,あおもりけん,おおわにまち
211,青森県,田舎館村,あおもりけん,いなかだてむら
212,青森県,板柳町,あおもりけん,いたやなぎまち
213,青森県,鶴田町,あおもりけん,つるたまち
214,青森県,中泊町,あおもりけん,なかどまりまち
215,青森県,野辺地町,あおもりけん,のへじまち
216,青森県,七戸町,あおもりけん,しちのへまち
217,青森県,六戸町,あおもりけん,ろくのへまち
218,青森県,横浜町,あおもりけん,よこはままち
219,青森県,東北町,あおもりけん,とうほくまち
220,青森県,六ヶ所村,あおもりけん,ろっかしょむら
221,青森県,おいらせ町,あおもりけん,おいらせちょう
222,青森県,大間町,あおもりけん,おおままち
223,青森県,東通村,あおもりけん,ひがしどおりむら
224,青森県,風間浦村,あおもりけん,かざまうらむら
225,青森県,佐井村,あおもりけん,さいむら
226,青森県,三戸町,あおもりけん,さんのへまち
227,青森県,五戸町,あおもりけん,ごのへまち
228,青森県,田子町,あおもりけん,たっこまち
229,青森県,南部町,あおもりけん,なんぶちょう
230,青森県,階上町,あおもりけん,はしかみちょう
231,青森県,新郷村,あおもりけん,しんごうむら
232,岩手県,,いわてけん,
233,岩手県,盛岡市,いわてけん,もりおかし
234,岩手県,宮古市,いわてけん,みやこし
235,岩手県,大船渡市,いわてけん,おおふなとし
236,岩手県,花巻市,いわてけん,はなまきし
237,岩手県,北上市,いわてけん,きたかみし
238,岩手県,久慈市,いわてけん,くじし
239,岩手県,遠野市,いわてけん,とおのし
240,岩手県,一関市,いわてけん,いちのせきし
241,岩手県,陸前高田市,いわてけん,りくぜんたかたし
242,岩手県,釜石市,いわてけん,かまいしし
243,岩手県,二戸市,いわてけん,にのへし
244,岩手県,八幡平市,いわてけん,はちまんたいし
245,岩手県,奥州市,いわてけん,おうしゅうし
246,岩手県,滝沢市,いわてけん,たきざわし
247,岩手県,雫石町,いわてけん,しずくいしちょう
248,岩手県,葛巻町,いわてけん,くずまきまち
249,岩手県,岩手町,いわてけん,いわてまち
250,岩手県,紫波町,いわてけん,しわちょう
251,岩手県,矢巾町,いわてけん,やはばちょう
252,岩手県,西和賀町,いわてけん,にしわがまち
253,岩手県,金ケ崎町,いわてけん,かねがさきちょう
254,岩手県,平泉町,いわてけん,ひらいずみちょう
255,岩手県,住田町,いわてけん,すみたちょう
256,岩手県,大槌町,いわてけん,おおつちちょう
257,岩手県,山田町,いわてけん,やまだまち
258,岩手県,岩泉町,いわてけん,いわいずみちょう
259,岩手県,田野畑村,いわてけん,たのはたむら
260,岩手県,普代村,いわてけん,ふだいむら
261,岩手県,軽米町,いわてけん,かるまいまち
262,岩手県,野田村,いわてけん,のだむら
263,岩手県,九戸村,いわてけん,くのへむら
264,岩手県,洋野町,いわてけん,ひろのちょう
265,岩手県,一戸町,いわてけん,いちのへまち
266,宮城県,,みやぎけん,
267,宮城県,仙台市,みやぎけん,せんだいし
268,宮城県,仙台市青葉区,みやぎけん,せんだいしあおばく
269,宮城県,仙台市宮城野区,みやぎけん,せんだいしみやぎのく
270,宮城県,仙台市若林区,みやぎけん,せんだいしわかばやしく
271,宮城県,仙台市太白区,みやぎけん,せんだいしたいはくく
272,宮城県,仙台市泉区,みやぎけん,せんだいしいずみく
273,宮城県,石巻市,みやぎけん,いしのまきし
274,宮城県,塩竈市,みやぎけん,しおがまし
275,宮城県,気仙沼市,みやぎけん,けせんぬまし
276,宮城県,白石市,みやぎけん,しろいしし
277,宮城県,名取市,みやぎけん,なとりし
278,宮城県,角田市,みやぎけん,かくだし
279,宮城県,多賀城市,みやぎけん,たがじょうし
280,宮城県,岩沼市,みやぎけん,いわぬまし
281,宮城県,登米市,みやぎけん,とめし
282,宮城県,栗原市,みやぎけん,くりはらし
283,宮城県,東松島市,みやぎけん,ひがしまつしまし
284,宮城県,大崎市,みやぎけん,おおさきし
285,宮城県,富谷市,みやぎけん,とみやし
286,宮城県,蔵王町,みやぎけん,ざおうまち
287,宮城県,七ヶ宿町,みやぎけん,しちかしゅくまち
288,宮城県,大河原町,みやぎけん,おおがわらまち
289,宮城県,村田町,みやぎけん,むらたまち
290,宮城県,柴田町,みやぎけん,しばたまち
291,宮城県,川崎町,みやぎけん,かわさきまち
292,宮城県,丸森町,みやぎけん,まるもりまち
293,宮城県,亘理町,みやぎけん,わたりちょう
294,宮城県,山元町,みやぎけん,やまもとちょう
295,宮城県,松島町,みやぎけん,まつしままち
296,宮城県,七ヶ浜町,みやぎけん,しちがはままち
297,宮城県,利府町,みやぎけん,りふちょう
298,宮城県,大和町,みやぎけん,たいわちょう
299,宮城県,大郷町,みやぎけん,おおさとちょう
300,宮城県,大衡村,みやぎけん,おおひらむら
301,宮城県,色麻町,みやぎけん,しかまちょう
302,宮城県,加美町,みやぎけん,かみまち
303,宮城県,涌谷町,みやぎけん,わくやちょう
304,宮城県,美里町,みやぎけん,みさとまち
305,宮城県,女川町,みやぎけん,おながわちょう
306,宮城県,南三陸町,みやぎけん,みなみさんりくちょう
307,秋田県,,あきたけん,
308,秋田県,秋田市,あきたけん,あきたし
309,秋田県,能代市,あきたけん,のしろし
310,秋田県,横手市,あきたけん,よこてし
311,秋田県,大館市,あきたけん,おおだてし
312,秋田県,男鹿市,あきたけん,おがし
313,秋田県,湯沢市,あきたけん,ゆざわし
314,秋田県,鹿角市,あきたけん,かづのし
315,秋田県,由利本荘市,あきたけん,ゆりほんじょうし
316,秋田県,潟上市,あきたけん,かたがみし
317,秋田県,大仙市,あきたけん,だいせんし
318,秋田県,北秋田市,あきたけん,きたあきたし
319,秋田県,にかほ市,あきたけん,にかほし
320,秋田県,仙北市,あきたけん,せんぼくし
321,秋田県,小坂町,あきたけん,こさかまち
322,秋田県,上小阿仁村,あきたけん,かみこあにむら
323,秋田県,藤里町,あきたけん,ふじさとまち
324,秋田県,三種町,あきたけん,みたねちょう
325,秋田県,八峰町,あきたけん,はっぽうちょう
326,秋田県,五城目町,あきたけん,ごじょうめまち
327,秋田県,八郎潟町,あきたけん,はちろうがたまち
328,秋田県,井川町,あきたけん,いかわまち
329,秋田県,大潟村,あきたけん,おおがたむら
330,秋田県,美郷町,あきたけん,みさとちょう
331,秋田県,羽後町,あきたけん,うごまち
332,秋田県,東成瀬村,あきたけん,ひがしなるせむら
333,山形県,,やまがたけん,
334,山形県,山形市,やまがたけん,やまがたし
335,山形県,米沢市,やまがたけん,よねざわし
336,山形県,鶴岡市,やまがたけん,つるおかし
337,山形県,酒田市,やまがたけん,さかたし
338,山形県,新庄市,やまがたけん,しんじょうし
339,山形県,寒河江市,やまがたけん,さがえし
340,山形県,上山市,やまがたけん,かみのやまし
341,山形県,村山市,やまがたけん,むらやまし
342,山形県,長井市,やまがたけん,ながいし
343,山形県,天童市,やまがたけん,てんどうし
344,山形県,東根市,やまがたけん,ひがしねし
345,山形県,尾花沢市,やまがたけん,おばなざわし
346,山形県,南陽市,やまがたけん,なんようし
347,山形県,山辺町,やまがたけん,やまのべまち
348,山形県,中山町,やまがたけん,なかやままち
349,山形県,河北町,やまがたけん,かほくちょう
350,山形県,西川町,やまがたけん,にしかわまち
351,山形県,朝日町,やまがたけん,あさひまち
352,山形県,大江町,やまがたけん,おおえまち
353,山形県,大石田町,やまがたけん,おおいしだまち
354,山形県,金山町,やまがたけん,かねやままち
355,山形県,最上町,やまがたけん,もがみまち
356,山形県,舟形町,やまがたけん,ふながたまち
357,山形県,真室川町,やまがたけん,まむろがわまち
358,山形県,大蔵村,やまがたけん,おおくらむら
359,山形県,鮭川村,やまがたけん,さけがわむら
360,山形県,戸沢村,やまがたけん,とざわむら
361,山形県,高畠町,やまがたけん,たかはたまち
362,山形県,川西町,やまがたけん,かわにしまち
363,山形県,小国町,やまがたけん,おぐにまち
364,山形県,白鷹町,やまがたけん,しらたかまち
365,山形県,飯豊町,やまがたけん,いいでまち
366,山形県,三川町,やまがたけん,みかわまち
367,山形県,庄内町,やまがたけん,しようないまち
368,山形県,遊佐町,やまがたけん,ゆざまち
369,福島県,,ふくしまけん,
370,福島県,福島市,ふくしまけん,ふくしまし
371,福島県,会津若松市,ふくしまけん,あいづわかまつし
372,福島県,郡山市,ふくしまけん,こおりやまし
373,福島県,いわき市,ふくしまけん,いわきし
374,福島県,白河市,ふくしまけん,しらかわし
375,福島県,須賀川市,ふくしまけん,すかがわし
376,福島県,喜多方市,ふくしまけん,きたかたし
377,福島県,相馬市,ふくしまけん,そうまし
378,福島県,二本松市,ふくしまけん,にほんまつし
379,福島県,田村市,ふくしまけん,たむらし
380,福島県,南相馬市,ふくしまけん,みなみそうまし
381,福島県,伊達市,ふくしまけん,だてし
382,福島県,本宮市,ふくしまけん,もとみやし
383,福島県,桑折町,ふくしまけん,こおりまち
384,福島県,国見町,ふくしまけん,くにみまち
385,福島県,川俣町,ふくしまけん,かわまたまち
386,福島県,大玉村,ふくしまけん,おおたまむら
387,福島県,鏡石町,ふくしまけん,かがみいしまち
388,福島県,天栄村,ふくしまけん,てんえいむら
389,福島県,下郷町,ふくしまけん,しもごうまち
390,福島県,檜枝岐村,ふくしまけん,ひのえまたむら
391,福島県,只見町,ふくしまけん,ただみまち
392,福島県,南会津町,ふくしまけん,みなみあいづまち
393,福島県,北塩原村,ふくしまけん,きたしおばらむら
394,福島県,西会津町,ふくしまけん,にしあいづまち
395,福島県,磐梯町,ふくしまけん,ばんだいまち
396,福島県,猪苗代町,ふくしまけん,いなわしろまち
397,福島県,会津坂下町,ふくしまけん,あいづばんげまち
398,福島県,湯川村,ふくしまけん,ゆがわむら
399,福島県,柳津町,ふくしまけん,やないづまち
400,福島県,三島町,ふくしまけん,みしままち
401,福島県,金山町,ふくしまけん,かねやままち
402,福島県,昭和村,ふくしまけん,しょうわむら
403,福島県,会津美里町,ふくしまけん,あいづみさとまち
404,福島県,西郷村,ふくしまけん,にしごうむら
405,福島県,泉崎村,ふくしまけん,いずみざきむら
406,福島県,中島村,ふくしまけん,なかじまむら
407,福島県,矢吹町,ふくしまけん,やぶきまち
408,福島県,棚倉町,ふくしまけん,たなぐらまち
409,福島県,矢祭町,ふくしまけん,やまつりまち
410,福島県,塙町,ふくしまけん,はなわまち
411,福島県,鮫川村,ふくしまけん,さめがわむら
412,福島県,石川町,ふくしまけん,いしかわまち
413,福島県,玉川村,ふくしまけん,たまかわむら
414,福島県,平田村,ふくしまけん,ひらたむら
415,福島県,浅川町,ふくしまけん,あさかわまち
416,福島県,古殿町,ふくしまけん,ふるどのまち
417,福島県,三春町,ふくしまけん,みはるまち
418,福島県,小野町,ふくしまけん,おのまち
419,福島県,広野町,ふくしまけん,ひろのまち
420,福島県,楢葉町,ふくしまけん,ならはまち
421,福島県,富岡町,ふくしまけん,とみおかまち
422,福島県,川内村,ふくしまけん,かわうちむら
423,福島県,大熊町,ふくしまけん,おおくままち
424,福島県,双葉町,ふくしまけん,ふたばまち
425,福島県,浪江町,ふくしまけん,なみえまち
426,福島県,葛尾村,ふくしまけん,かつらおむら
427,福島県,新地町,ふくしまけん,しんちまち
428,福島県,飯舘村,ふくしまけん,いいたてむら
429,茨城県,,いばらきけん,
430,茨城県,水戸市,いばらきけん,みとし
431,茨城県,日立市,いばらきけん,ひたちし
432,茨城県,土浦市,いばらきけん,つちうらし
433,茨城県,古河市,いばらきけん,こがし
434,茨城県,石岡市,いばらきけん,いしおかし
435,茨城県,結城市,いばらきけん,ゆうきし
436,茨城県,龍ケ崎市,いばらきけん,りゅうがさきし
437,茨城県,下妻市,いばらきけん,しもつまし
438,茨城県,常総市,いばらきけん,じょうそうし
439,茨城県,常陸太田市,いばらきけん,ひたちおおたし
440,茨城県,高萩市,いばらきけん,たかはぎし
441,茨城県,北茨城市,いばらきけん,きたいばらきし
442,茨城県,笠間市,いばらきけん,かさまし
443,茨城県,取手市,いばらきけん,とりでし
444,茨城県,牛久市,いばらきけん,うしくし
445,茨城県,つくば市,いばらきけん,つくばし
446,茨城県,ひたちなか市,いばらきけん,ひたちなかし
447,茨城県,鹿嶋市,いばらきけん,かしまし
448,茨城県,潮来市,いばらきけん,いたこし
449,茨城県,守谷市,いばらきけん,もりやし
450,茨城県,常陸大宮市,いばらきけん,ひたちおおみやし
451,茨城県,那珂市,いばらきけん,なかし
452,茨城県,筑西市,いばらきけん,ちくせいし
453,茨城県,坂東市,いばらきけん,ばんどうし
454,茨城県,稲敷市,いばらきけん,いなしきし
455,茨城県,かすみがうら市,いばらきけん,かすみがうらし
456,茨城県,桜川市,いばらきけん,さくらがわし
457,茨城県,神栖市,いばらきけん,かみすし
458,茨城県,行方市,いばらきけん,なめがたし
459,茨城県,鉾田市,いばらきけん,ほこたし
460,茨城県,つくばみらい市,いばらきけん,つくばみらいし
461,茨城県,小美玉市,いばらきけん,おみたまし
462,茨城県,茨城町,いばらきけん,いばらきまち
463,茨城県,大洗町,いばらきけん,おおあらいまち
464,茨城県,城里町,いばらきけん,しろさとまち
465,茨城県,東海村,いばらきけん,とうかいむら
466,茨城県,大子町,いばらきけん,だいごまち
467,茨城県,美浦村,いばらきけん,みほむら
468,茨城県,阿見町,いばらきけん,あみまち
469,茨城県,河内町,いばらきけん,かわちまち
470,茨城県,八千代町,いばらきけん,やちよまち
471,茨城県,五霞町,いばらきけん,ごかまち
472,茨城県,境町,いばらきけん,さかいまち
473,茨城県,利根町,いばらきけん,とねまち
474,栃木県,,とちぎけん,
475,栃木県,宇都宮市,とちぎけん,うつのみやし
476,栃木県,足利市,とちぎけん,あしかがし
477,栃木県,栃木市,とちぎけん,とちぎし
478,栃木県,佐野市,とちぎけん,さのし
479,栃木県,鹿沼市,とちぎけん,かぬまし
480,栃木県,日光市,とちぎけん,にっこうし
481,栃木県,小山市,とちぎけん,おやまし
482,栃木県,真岡市,とちぎけん,もおかし
483,栃木県,大田原市,とちぎけん,おおたわらし
484,栃木県,矢板市,とちぎけん,やいたし
485,栃木県,那須塩原市,とちぎけん,なすしおばらし
486,栃木県,さくら市,とちぎけん,さくらし
487,栃木県,那須烏山市,とちぎけん,なすからすやまし
488,栃木県,下野市,とちぎけん,しもつけし
489,栃木県,上三川町,とちぎけん,かみのかわまち
490,栃木県,益子町,とちぎけん,ましこまち
491,栃木県,茂木町,とちぎけん,モテギマチ
492,栃木県,市貝町,とちぎけん,いちかいまち
493,栃木県,芳賀町,とちぎけん,はがまち
494,栃木県,壬生町,とちぎけん,みぶまち
495,栃木県,野木町,とちぎけん,のぎまち
496,栃木県,塩谷町,とちぎけん,しおやまち
497,栃木県,高根沢町,とちぎけん,たかねざわまち
498,栃木県,那須町,とちぎけん,なすまち
499,栃木県,那珂川町,とちぎけん,なかがわまち
500,群馬県,,ぐんまけん,
501,群馬県,前橋市,ぐんまけん,まえばしし
502,群馬県,高崎市,ぐんまけん,たかさきし
503,群馬県,桐生市,ぐんまけん,きりゅうし
504,群馬県,伊勢崎市,ぐんまけん,いせさきし
505,群馬県,太田市,ぐんまけん,おおたし
506,群馬県,沼田市,ぐんまけん,ぬまたし
507,群馬県,館林市,ぐんまけん,たてばやしし
508,群馬県,渋川市,ぐんまけん,しぶかわし
509,群馬県,藤岡市,ぐんまけん,ふじおかし
510,群馬県,富岡市,ぐんまけん,とみおかし
511,群馬県,安中市,ぐんまけん,あんなかし
512,群馬県,みどり市,ぐんまけん,みどりし
513,群馬県,榛東村,ぐんまけん,しんとうむら
514,群馬県,吉岡町,ぐんまけん,よしおかまち
515,群馬県,上野村,ぐんまけん,うえのむら
516,群馬県,神流町,ぐんまけん,かんなまち
517,群馬県,下仁田町,ぐんまけん,しもにたまち
518,群馬県,南牧村,ぐんまけん,なんもくむら
519,群馬県,甘楽町,ぐんまけん,かんらまち
520,群馬県,中之条町,ぐんまけん,なかのじようまち
521,群馬県,長野原町,ぐんまけん,ながのはらまち
522,群馬県,嬬恋村,ぐんまけん,つまごいむら
523,群馬県,草津町,ぐんまけん,くさつまち
524,群馬県,高山村,ぐんまけん,たかやまむら
525,群馬県,東吾妻町,ぐんまけん,ひがしあがつままち
526,群馬県,片品村,ぐんまけん,かたしなむら
527,群馬県,川場村,ぐんまけん,かわばむら
528,群馬県,昭和村,ぐんまけん,しょうわむら
529,群馬県,みなかみ町,ぐんまけん,みなかみまち
530,群馬県,玉村町,ぐんまけん,たまむらまち
531,群馬県,板倉町,ぐんまけん,いたくらまち
532,群馬県,明和町,ぐんまけん,めいわまち
533,群馬県,千代田町,ぐんまけん,ちよだまち
534,群馬県,大泉町,ぐんまけん,おおいずみまち
535,群馬県,邑楽町,ぐんまけん,おうらまち
536,埼玉県,,さいたまけん,
537,埼玉県,さいたま市,さいたまけん,さいたまし
